,N°,CODE,LIBELLE,AE,CP
80,109,138,ACCES A L'EAU POTABLE ET . L'ASSAINISSEMENT LIQUID E,56621741,56621741
81,110,139,wopérateurs GOUVERNANCE ET APPUI INSTITUTIONNEL DANS LE SwOUS-SECTEUR EAU ET ENERGIE,17613848,16138848
82,111,054,Aménagement et renouvellement de la ressource forestière,3552375,3552375
83,113,058,Sécurisation et valorisation des ressources fauniques et des Aires protégées Valorisation des ressources forestières ligneuses et non ligneuses,2065900,2065900
84,114,060,FCFA) LIBELLE Gouvernance et appui institutionnel dans le sous- secteur forêts et fa une,10030313,10030313
85,116,121,PROMOTION DE L'EMPLOI DÉCENT ET DE L'INSERTION PROFESSIONNELLE DÉVELOPPEMENT DES COMPÉTENCES,16552543,16764743
86,117,122,GOUVERNANCE ET APPUI INSTITUTIONNEL DANS LE SOUS-SECTEUR D.E L'EMPLOI ET DE LA .FORMATION wdes,10075607,8740607
87,118,126,CwONSTRUCTION DES ROUTES ET AUTRES INFRASTRUCTURES,388719377,348519377
88,,126,"REHABILITATION, MAINTENANCE ET ENTRETIEN DES ROUTES ET AUTRES",238758626,204373626
89,120,127,INFRASTRUCTURES RÉALISATION DES ÉTUDES TECHNIQUES D'INFRASTRUCTURES,2848784,2848784
90,121,128,GOUVERNANCE ET APPUI INSTITUTIONNEL,13418213,13418213
91,122,026,MODERNISATION DU CADASTRE,1203574,1203574
92,123,061,PROTECTION ET DEVELOPPEMENT DU PATRIMOINE DE L'ETAT,10773350,10773350
93,124,066,FCFA) .r----------1 o LIBELLE PROTECTION ET VA L O R IS A T ION DES D O M A IN E S,1394887,1394887
94,125,068,OPTIMISATION DE LA GESTION DES AFFAIRES FONCIERES,1143650,1143650
95,127,108,DEVELOPPEMENT DE L'HABITAT,35300002,35300002
96,128,109,AMÉLIORATION DE L'ENVIRONNEMENT SOCIAL URBAIN,2410387,2410387
97,129,111,DEVELOPPEMENT DES INFRASTRUCTURES DE TRANSPORT URBAIN ET DE MOBILITE DURABLE. .,103296840,103296840
98,130,113,GOUVERNANCwE ET APPUI INSTITUTIONNEL DU SOUS­ SECTEUR URBAIN.,7491240,7491240
99,131,043,"MINISTERE 39 - ENTREPRISES, L'ARTISANAT PROMOTION DE L'ENTREPRENEURIAT",2909562,2909562
100,132,044,TRANSFORMATION ET MODERNISATION DES UNITES DE PRODUCTION,3230400,3230400
101,133,167,GOUVERNANCE ET APPUI INSTITUTIONNEL DU MINISTERE,5915435,5610038
102,134,045,FCFA) UBEUE PREVENTION DE LA MALADIE,50819637,50819637
103,135,046,PROMOTION DE LA SANTE ET NUTRITION,2506694,2506694
104,136,047,RENFORCEMENT DU SYSTEME DE SANTE,95961933,88170113
105,137,048,PRISE EN CHARGE DES CAS,59811306,59811306
106,138,049,. GOUVERNANCE ET PI L O T A G E S T R A T E G IQ U E Dw D U S Y S TE M E E S A N TE,53973250,53973250
107,139,017,PwROMOTION DE LA SECURITE SOCIALE POUR TOUS,965000,965000
108,140,018,PROMOTION DU TRAVAIL DECENT,2658450,2656450
109,141,159,GOUVERNANCE ET APPUI des INSTITUTIONNEL DU SOUS bonne SECTEUR TRAVAIL ET des SECURITE SOCIALE,3665550,3665550
110,143,071,FCFA) LIBELLE PROTECTION SOCIALE DES GROUPES A VULNERABILITÉS SPECIFIQUES ET,12546314,12546314
111,144,179,SOLIDARITÉ. NATIONALE GOUVERNANCE ET APPUI INSTITUTIONNEL DANS LE SOUS-SECTEUR DES AFFAIRES SOCIALES,5009636,5009636
112,145,140,AUTONOMISATION ECONOMIQUE DES FEMMES,3259149,3259149
113,146,141,PROMOTION STATUT DU SOCIAL DE LA FEMME ET DU GENRE,15920451,592045
114,147,142,. wRenforcer DEVELOPPEMENT DE LA FAMILLE ET PROTECTION DES DROITS DE L'ENFANT,16424631,642463
115,148,143,APPUI INSTITUTIONNEL ET GOUVERNANCE,3069863,3069863
116,149,129,DENSIFICATION DU RESEAU ET AMELIORATION DE LA COUVERTURE POSTALE NATIONALE,2861931,286193
117,160,130,DEVELOPPEMENT DE L'ECOSYSTEME NATIONAL DU NUMERIQUE,9489364,9489364
