PAGE;CODE;LIBELLE;AE;CP
100;141;PROMOTION DU STATUT SOCIAL DE LA FEMME ET DU GENRE;1765200;1765200
100;142;DEVELOPPEMENT DE LA FAMILLE ET PROTECTION DE DROITS DE L'ENFANT;1969700;1969700
100;143;APPUI INSTITUTIONNEL ET GOwUVERNANCE MINISTERE DES;3706920;3706920
100;129;DENSIFICATION DU RESEAU ET AMÉLIORATION DE LA COUVERTURE POSTA LE NATIONALE;1388063;1388063
100;130;NATIONALE DEVELOPPEMENT DE L'ECOSYSTEME NATIONAL DU NUMERIQUE;10330875;10330875
100;131;GOUVERNANCE ET APPUI INSTITUTIONNEL DU MINISTERE DES POSTES ET TELECOMMUNICATIONS;5855018;5855018
100;132;TELECOMMUNICATIONS SECURISATION DE L'ECOSYSTEME NATIONAL DU NUMERIQUE;1037044;1037044
101;153;DEVELOPPEMENT DES TRANSPORTS ROUTIERS, DE L'INTERMODALITE ET DE LA SECURITE ROUTIERE;155800;1558000
101;154;SECURITE ROUTIERE DEVELOPPEMENT DU TRANSPORT AERIEN ET REGULATION DE L'AVIATION CIVILE;913500;913500
101;155;DEVELOPPEMENT DU TRANSPORT MARITIME, FLUVIAL, LACUSTRE ET DES ACTIVITES PORTUAIRES;37082035;37082035
101;156;DEVELOPPEMENT DU TRANSPORT FERROVIAIRE DEVELOPPEMENT ET MODERNISATION DES;11400500;11400500
101;157;MODERNISATION DES SYSTEMES DE COLLECTE, DE PRODUCTION ET DE VULGARISATION DES INFORMATIONS METEOROLOGIQUES;1100195;1100195
101;158;GOUVERNANCE ET APPUI INSTITUTIONNEL AU SOUS- SECTEUR DES TwRANSPORTS COMITE NATIONA;5001770;5001770
101;083;REINTEGRATION DES EX- COMBATTANTS;813000;813000
101;180;GOUVERNANCE ET APPUI INSTITUTIONNEL DU CNDDR;2785000;2785000
102;074;GOUVERNANCE ET APPUI INSTITUTIONNEL DU CONSE CONSTITUTIONNEL MINISTERE DE;4144000;4144000
102;040;AMÉLIORATION DE LA GESTION DES RESSOURCES HUMAINES DE L'ETAT;3689568;5467803
102;041;MODERNISATION DES SERVICES PUBLICS;4094405;4094405
102;042;GOUVERNANCE ET APPUI INSTITUTIONNEL AU MINFOPRA MINFOPR;9368477;9152792
102;081;SUPERVISION DU SYSTÈME ÉLECTORAL ET RÉFERENDAIRE AU CAMEROUN;4162000;4162000
102;183;GOUVERNANCE ET APPUI INSTITUTIONNEL DE ELECAM COMMISSION DES;9054800;8421000
102;084;PROMOTION DES DROITS DE L'HOMME;41400;419400
102;085;PROTECTION DES DROITS DE L'HOMME OV STA TVTC> I.I LA;437200;437200
103;086;PRÉVENTION DE LA TORTURE;478700;478700
103;190;GOUVERNANCE ET APPUI INSTITUTIONNEL;3460700;3460700
103;178;;16162000;16162000
103;181;GOUVERNANCE ET APPUI INSTITUTIONNEL DE LA;3498000;3498000
103;200;;270369000;270369000
103;199;;941000000;941000000
103;203;;1124500000;1124500000
103;202;SUBVENTIONS ET CONTRIBUTIONS;175705000;175705000
103;201;DEPENSES COMMUNES DE FONCTIONNEMENT;218682000;218682000
104;196;REHABILITATION ET RESTRUCTURATION DES;5000000;5000000
104;195;INTERVENTIONS EN INVESTISSEMENT;100042084;100042084
